INFO  - 2021-01-05 17:52:03.089; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 17:52:13.218; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 17:52:23.259; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 18:09:19.858; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 18:09:30.029; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 18:09:40.072; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 18:18:00.162; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 18:18:10.324; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 18:18:20.381; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 22:18:28.022; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 22:18:38.122; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 22:19:01.177; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-05 22:19:01.187; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 22:19:21.332; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-05 22:22:43.031; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 22:22:53.172; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 22:23:47.833; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 22:23:57.975; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 22:24:08.020; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 22:26:04.949; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 22:26:15.110; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 22:26:25.160; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 22:28:07.781; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 22:28:22.928; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 22:34:23.110; org.PlanCanadaTestAutomation.tests.Tester; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 22:34:48.190; org.PlanCanadaTestAutomation.tests.Tester; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-05 22:35:06.510; org.PlanCanadaTestAutomation.tests.Tester; --- Finished PlanCanada_TestTribute_TC02_DDT ---
